,year,Month,day,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,DayOfYear,dayofweek,DayofWeek,floor_area,floor_height,number_of_stories,building_rotation,aspect_ratio,overall_wwr,hours_of_operation_start_time,hours_of_operation_duration,lpd,epd,people_average,heating_source,target_standard,building_type,B0_Elec,B0_Gas,B1_Elec,B1_Gas,B2_Elec,B2_Gas,B_All_Elec
6399,2000,9,24,16,0,26.7,21.7,74.0,9/24/2017 15:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,59.736666666666665,0.06816287458333332,75.82197222222223,0.07778647271111111,61.82830555555555,0.06645259062777777,197.38694444444442
6400,2000,9,24,17,0,25.0,21.1,79.0,9/24/2017 16:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,53.387319444444444,0.06620246733333333,72.80406944444445,0.07164842213888889,54.67797222222222,0.059872619711111116,180.86936111111112
6401,2000,9,24,18,0,23.9,20.6,82.0,9/24/2017 17:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,53.109430555555555,0.06509691772777777,72.25529166666666,0.07029142708888889,54.76283333333333,0.05920612342222222,180.12755555555555
6402,2000,9,24,19,0,22.2,20.0,87.0,9/24/2017 18:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,51.37079722222222,0.025569679644444444,68.10194444444444,0.02369766688888889,52.45113888888889,0.022630592322222223,171.92388055555557
6403,2000,9,24,20,0,21.1,18.3,84.0,9/24/2017 19:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,52.05404722222222,0.00845704644521111,62.58775,0.008828521566666667,51.43145833333333,0.007999836805555556,166.07325555555556
6404,2000,9,24,21,0,20.0,17.0,83.0,9/24/2017 20:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,41.34822916666667,0.006299423955555555,46.45977777777778,0.00708369585,36.6818375,0.007999836805555556,124.48984444444446
6405,2000,9,24,22,0,19.4,16.7,84.0,9/24/2017 21:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,39.442548611111114,0.005804671378544445,41.964597222222224,0.00708369585,34.995643055555554,0.006265607244444444,116.40278888888889
6406,2000,9,24,23,0,18.9,15.6,81.0,9/24/2017 22:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,37.0296875,0.008802566672222222,39.38586111111111,0.003296494322222222,32.98341388888889,0.006265683066666667,109.39896250000001
6407,2000,9,24,24,0,18.3,15.0,81.0,9/24/2017 23:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,34.09702222222222,0.008072303894444443,36.63233888888889,0.004026510677777778,29.928779166666665,0.006265683066666667,100.65814027777776
6408,2000,9,25,1,0,17.2,14.4,84.0,9/25/2017 0:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,48.14565833333333,0.006131994272222222,70.42535416666666,0.11572507885555555,29.649270833333333,0.06119480288333333,148.22028333333333
